muscle,F_max,l_opt,l_slack,v_max,W,C,N,K,E_REF
abd_r,4050.1221082771062,0.08338905856698048,0.05439339882872351,15.000000000000002,0.7438530544863963,-1.2082653038093474,1.5000000000000002,5.000000000000001,0.040000093825363923
add_r,3570.8432721719464,0.08616682274072802,0.0608409290230623,15.000000091164118,0.7404351452055306,-1.2564254646275186,1.5000000911641171,5.00000009116412,0.040000099500000004
bifemsh_r,505.3293447064984,0.10425209627271026,0.11502434483612788,15.000000000177602,0.7667513160123838,-1.7965310820407197,1.5000000001776024,5.000000000177602,0.040000000095342735
gastroc_r,4075.354492058524,0.052446833871050084,0.39342677935713016,15.000000066179656,0.7487664013195299,-1.8883999262107676,1.5000000657161283,5.0000000658363035,0.04000009178729531
glut_max_r,3018.704544354101,0.15692221442921617,0.0492656326196547,15.000000099784032,0.7067655594029132,-1.0487911014384657,1.5000000997840321,5.000000099784033,0.040000006131459424
hamstrings_r,3685.405646860352,0.06916301432911624,0.34779359184760245,15.00000006759216,0.9334415383481626,-3.2141537297574354,1.5000000665578797,5.000000066826026,0.04000003810408412
iliopsoas_r,2484.5074684648225,0.11351635103379608,0.13108060345751643,15.000000045786642,0.8124891983264516,-1.7949040005299226,1.500000045784791,5.000000045785271,0.040000027205943756
rect_fem_r,2044.3869120656032,0.07647397688364756,0.3440414883130325,15.000000000000002,1.3582715655173765,-11.155315551241943,1.5000000000000002,5.000000000000001,0.04000000000000427
soleus_r,6545.951547364834,0.04381718889197102,0.2493413486793583,15.000000096990908,0.7418728783349263,-1.5937058449997268,1.5000000969892548,5.000000096989683,0.04000009960675376
tib_ant_r,1938.1611864177476,0.06878943736168754,0.2369898731855931,15.000000000000002,0.7679244712008386,-1.673766565490022,1.5000000000000002,5.000000000000001,0.040000051022621864
vasti_r,8891.485051197345,0.09648871400344793,0.1009951023208841,15.000000099999713,1.4546046934811272,-11.521303892910868,1.5000000999997134,5.000000099999713,0.04000000000004607
